type,latitude,longitude,lease_type,negotiable,furnishing,parking,property_size,property_age,bathroom,facing,cup_board,floor,total_floor,amenities,water_supply,building_type,balconies
BHK2,12.9834718,77.7716696,FAMILY,0,SEMI_FURNISHED,BOTH,1095,2,2,E,2,2,4,3.0,CORP_BORE,AP,2
BHK1,12.90422395,77.65061603,FAMILY,1,SEMI_FURNISHED,BOTH,1000,4,2,E,2,2,2,6.0,CORPORATION,IF,2
BHK2,12.9637394,77.63625217,FAMILY,1,NOT_FURNISHED,TWO_WHEELER,950,10,2,N,2,0,2,0.0,CORPORATION,IH,1
BHK3,12.9096896,77.6242126,ANYONE,1,SEMI_FURNISHED,BOTH,1290,5,2,W,3,3,4,8.0,BOREWELL,AP,2
BHK2,12.90007237,77.58594377,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,1000,1,2,N,2,2,3,3.0,CORPORATION,IF,0
BHK2,12.94351196,77.62864493,ANYONE,1,FULLY_FURNISHED,TWO_WHEELER,600,4,2,E,2,1,2,1.0,CORPORATION,IF,0
BHK2,12.9260308,77.6762463,FAMILY,0,SEMI_FURNISHED,FOUR_WHEELER,1260,4,2,E,2,2,4,10.0,BOREWELL,AP,2
BHK3,12.91081715,77.58368683,ANYONE,1,SEMI_FURNISHED,BOTH,1700,0,3,N,3,3,3,6.0,CORP_BORE,AP,2
BHK3,12.9093406,77.63443443,ANYONE,1,SEMI_FURNISHED,BOTH,1500,10,3,E,6,1,3,3.0,CORPORATION,IF,2
BHK3,12.99341817,77.53192532,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,1400,25,2,E,4,1,3,5.0,CORPORATION,IF,1
BHK1,12.9769324,77.67020684,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,400,3,1,E,1,3,3,4.0,CORP_BORE,IF,0
BHK2,12.9143935,77.68571854,ANYONE,1,FULLY_FURNISHED,FOUR_WHEELER,1250,10,2,E,2,1,5,8.0,CORP_BORE,AP,2
BHK2,12.92742396,77.510387,FAMILY,1,SEMI_FURNISHED,BOTH,1320,1,2,N,2,2,4,14.0,CORP_BORE,AP,2
BHK3,12.95440936,77.58441151,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1000,10,1,N,2,1,2,1.0,CORP_BORE,IF,1
BHK2,12.93369996,77.70216992,ANYONE,1,SEMI_FURNISHED,BOTH,1321,1,2,N,2,4,4,9.0,CORP_BORE,AP,2
BHK2,12.92965734,77.74087894,FAMILY,1,SEMI_FURNISHED,BOTH,1139,0,2,E,2,9,11,17.0,BOREWELL,AP,0
BHK2,12.99067997,77.66878121,ANYONE,1,SEMI_FURNISHED,BOTH,950,10,2,E,2,3,5,3.0,BOREWELL,AP,2
BHK2,12.95765888,77.52894549,ANYONE,1,SEMI_FURNISHED,BOTH,1100,5,2,E,2,2,2,1.0,CORP_BORE,AP,0
BHK2,12.90687616,77.60357446,FAMILY,1,SEMI_FURNISHED,BOTH,1075,15,2,E,2,3,3,4.0,CORPORATION,AP,1
BHK2,12.9008508,77.6390968,FAMILY,1,SEMI_FURNISHED,BOTH,950,10,2,W,4,0,2,7.0,CORPORATION,IF,2
BHK3,12.90499141,77.51012596,ANYONE,1,SEMI_FURNISHED,BOTH,1490,3,2,E,3,2,3,4.0,CORP_BORE,AP,2
BHK2,12.940264,77.5874501,FAMILY,1,FULLY_FURNISHED,BOTH,1480,10,2,E,4,2,9,13.0,CORPORATION,AP,2
BHK2,12.91027295,77.53911387,FAMILY,1,SEMI_FURNISHED,BOTH,1400,4,2,E,2,3,5,3.0,BOREWELL,AP,4
BHK2,12.97293595,77.66895008,FAMILY,1,SEMI_FURNISHED,BOTH,1200,15,3,E,3,0,1,1.0,CORP_BORE,IH,0
BHK3,12.93427738,77.54369574,FAMILY,1,SEMI_FURNISHED,BOTH,1250,15,2,SW,2,1,2,7.0,CORPORATION,IH,1
BHK2,12.99817305,77.54563954,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,650,4,2,E,2,0,3,1.0,CORPORATION,IF,0
BHK2,12.91935188,77.63255182,BACHELOR,1,SEMI_FURNISHED,BOTH,1100,8,2,S,2,4,4,3.0,CORP_BORE,AP,2
BHK3,12.92350411,77.6122934,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1850,8,3,E,3,1,3,5.0,CORP_BORE,IF,2
BHK2,12.99500027,77.68094115,BACHELOR,1,SEMI_FURNISHED,TWO_WHEELER,850,5,3,N,2,1,2,2.0,CORP_BORE,IF,1
BHK3,12.96885621,77.73854029,FAMILY,0,SEMI_FURNISHED,BOTH,1490,5,2,E,3,1,4,17.0,CORP_BORE,AP,3
BHK2,12.926969,77.6972625,ANYONE,0,SEMI_FURNISHED,BOTH,1160,5,2,E,2,3,4,11.0,BOREWELL,AP,1
BHK3,12.96122265,77.74250031,FAMILY,1,FULLY_FURNISHED,BOTH,1600,2,3,N,3,4,4,8.0,CORPORATION,AP,1
BHK3,12.90445248,77.60221652,ANYONE,1,SEMI_FURNISHED,BOTH,3050,3,5,NE,4,9,12,16.0,CORP_BORE,AP,4
BHK3,12.9751894,77.7590327,FAMILY,1,SEMI_FURNISHED,BOTH,1430,0,2,E,3,1,4,12.0,BOREWELL,AP,3
BHK2,12.90581962,77.67599858,FAMILY,1,SEMI_FURNISHED,BOTH,950,1,2,E,2,4,4,4.0,BOREWELL,AP,0
BHK1,12.917121,77.61602773,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,400,3,1,W,0,3,3,3.0,CORPORATION,IF,0
BHK2,12.96454379,77.53134573,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,600,10,1,N,2,0,3,0.0,CORP_BORE,IF,0
BHK3,12.96002556,77.65841024,ANYONE,1,SEMI_FURNISHED,BOTH,1594,1,3,E,10,3,4,4.0,BOREWELL,AP,2
BHK2,12.95191748,77.69914865,ANYONE,0,FULLY_FURNISHED,FOUR_WHEELER,1200,10,2,S,3,0,0,1.0,CORP_BORE,IF,1
BHK2,12.99912706,77.61952786,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1200,10,2,E,2,2,2,1.0,CORPORATION,IH,1
BHK2,12.9923759,77.7138402,ANYONE,1,SEMI_FURNISHED,BOTH,1076,3,2,N,4,1,4,14.0,BOREWELL,AP,2
BHK2,12.95794047,77.61504863,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,700,1,1,N,1,2,2,1.0,CORPORATION,IF,2
BHK3,12.96439393,77.75596203,ANYONE,1,SEMI_FURNISHED,BOTH,1375,4,2,W,3,1,5,10.0,CORP_BORE,AP,2
BHK2,12.96438498,77.71362059,ANYONE,1,SEMI_FURNISHED,BOTH,1065,8,2,NE,2,1,3,5.0,CORP_BORE,AP,1
BHK1,12.91576684,77.56663923,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,650,1,1,N,1,2,2,4.0,CORPORATION,IH,1
BHK2,12.9703009,77.7394709,ANYONE,1,SEMI_FURNISHED,BOTH,1341,0,2,W,2,10,11,11.0,CORP_BORE,AP,1
BHK3,12.9079177,77.50157958,FAMILY,1,SEMI_FURNISHED,BOTH,1800,2,3,E,2,3,8,5.0,BOREWELL,AP,2
BHK2,12.914521,77.6724762,FAMILY,1,SEMI_FURNISHED,BOTH,1240,4,2,NE,2,7,7,12.0,CORP_BORE,AP,2
BHK2,12.91832755,77.55574369,FAMILY,1,SEMI_FURNISHED,BOTH,1000,5,2,E,3,4,4,1.0,CORPORATION,IH,1
BHK2,12.9661682,77.7247772,FAMILY,0,SEMI_FURNISHED,BOTH,1047,0,2,E,2,8,16,17.0,CORP_BORE,AP,1
BHK2,12.97738156,77.63790912,FAMILY,1,SEMI_FURNISHED,BOTH,1200,18,2,E,8,0,1,4.0,CORP_BORE,IH,3
BHK2,12.91027421,77.6034283,FAMILY,1,SEMI_FURNISHED,BOTH,900,1,2,N,2,2,3,4.0,CORP_BORE,IF,1
BHK2,12.9718809,77.75103847,ANYONE,1,SEMI_FURNISHED,BOTH,1200,7,2,E,4,4,8,14.0,CORP_BORE,AP,2
RK1,12.91834244,77.61559191,ANYONE,0,SEMI_FURNISHED,TWO_WHEELER,550,0,1,N,1,4,4,3.0,CORP_BORE,IF,1
BHK1,12.97396585,77.68269317,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,650,10,1,E,1,3,3,3.0,CORP_BORE,IF,0
BHK2,12.9271456,77.6746396,FAMILY,1,SEMI_FURNISHED,BOTH,1600,3,2,E,5,2,3,11.0,CORP_BORE,AP,1
BHK2,12.91577493,77.59241053,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,600,10,2,E,2,2,2,1.0,CORPORATION,IF,1
BHK2,12.91744194,77.59968341,FAMILY,0,SEMI_FURNISHED,BOTH,900,0,2,E,2,4,5,5.0,CORP_BORE,IF,0
BHK3,12.99201301,77.66113481,FAMILY,0,SEMI_FURNISHED,FOUR_WHEELER,1750,5,3,E,4,4,5,6.0,CORP_BORE,AP,4
BHK3,12.92625878,77.55567007,ANYONE,1,FULLY_FURNISHED,BOTH,2800,10,3,E,4,0,2,3.0,CORP_BORE,IH,2
BHK3,12.98049811,77.6762309,FAMILY,1,SEMI_FURNISHED,BOTH,1550,8,3,E,3,3,4,9.0,CORP_BORE,AP,2
RK1,12.96755682,77.65916708,BACHELOR,1,SEMI_FURNISHED,BOTH,200,1,1,N,1,4,4,2.0,CORPORATION,IF,1
BHK2,12.96242998,77.63477274,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,800,15,1,S,2,1,3,4.0,CORPORATION,IF,1
BHK2,12.9068504,77.6080472,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,1200,5,2,E,2,0,3,0.0,CORP_BORE,IF,0
BHK2,12.9670667,77.7381533,FAMILY,1,SEMI_FURNISHED,BOTH,1070,3,2,N,2,2,4,6.0,BOREWELL,AP,2
BHK2,12.93458745,77.60496998,ANYONE,1,SEMI_FURNISHED,BOTH,850,20,2,E,2,1,2,0.0,CORPORATION,IF,1
BHK2,12.96619476,77.50478291,FAMILY,1,SEMI_FURNISHED,BOTH,800,3,1,N,2,0,2,3.0,CORP_BORE,IF,0
BHK1,12.93621182,77.61031731,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,400,0,1,S,1,2,2,2.0,CORPORATION,IF,1
BHK3,12.9913591,77.7293613,ANYONE,0,SEMI_FURNISHED,FOUR_WHEELER,2215,5,4,SE,4,6,18,16.0,CORP_BORE,AP,2
BHK3,12.90945637,77.55031827,FAMILY,1,SEMI_FURNISHED,BOTH,2200,6,3,S,4,0,2,4.0,CORPORATION,IH,2
BHK2,12.91270239,77.55858148,FAMILY,1,NOT_FURNISHED,TWO_WHEELER,1180,9,3,NE,0,0,5,2.0,CORPORATION,AP,0
BHK3,12.914521,77.6724762,ANYONE,1,SEMI_FURNISHED,BOTH,1420,5,2,E,3,5,6,14.0,CORP_BORE,AP,3
BHK2,12.92484589,77.6149783,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,800,5,1,E,2,3,4,4.0,CORP_BORE,IF,1
BHK2,12.9485202,77.7227111,FAMILY,1,SEMI_FURNISHED,BOTH,1200,3,2,N,2,2,4,7.0,BOREWELL,AP,3
BHK2,12.99731977,77.50311613,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,800,6,1,N,1,1,1,1.0,CORPORATION,IF,0
BHK1,12.9041378,77.62720613,ANYONE,0,SEMI_FURNISHED,FOUR_WHEELER,400,3,1,E,1,2,2,3.0,CORP_BORE,IH,0
BHK1,12.97495768,77.69456222,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,550,3,1,N,1,3,4,3.0,CORP_BORE,IH,1
BHK1,12.90624201,77.57763092,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,600,11,1,E,1,2,2,3.0,CORP_BORE,IF,0
BHK3,12.90136798,77.86780375,FAMILY,1,SEMI_FURNISHED,BOTH,2350,3,4,W,2,0,1,1.0,BOREWELL,IH,1
BHK1,12.90199136,77.64521424,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,550,0,1,N,1,3,4,4.0,CORPORATION,IF,1
BHK2,12.94442465,77.55516807,FAMILY,1,SEMI_FURNISHED,BOTH,1100,25,3,E,2,0,2,1.0,CORPORATION,IF,0
BHK2,12.9556313,77.56680206,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,600,5,2,N,1,2,3,0.0,CORP_BORE,IF,1
BHK2,12.99021651,77.64729298,ANYONE,0,SEMI_FURNISHED,TWO_WHEELER,600,10,1,N,2,1,1,2.0,CORPORATION,IF,1
BHK1,12.96501132,77.5381354,ANYONE,0,SEMI_FURNISHED,TWO_WHEELER,600,15,1,W,1,1,1,6.0,CORPORATION,IF,1
BHK2,12.97139124,77.69509657,ANYONE,1,NOT_FURNISHED,TWO_WHEELER,900,6,1,E,0,2,3,1.0,CORP_BORE,IF,1
BHK3,12.99702221,77.57202138,FAMILY,1,SEMI_FURNISHED,BOTH,1250,0,2,N,2,4,4,6.0,CORP_BORE,AP,0
BHK3,12.94857185,77.71920832,FAMILY,1,SEMI_FURNISHED,BOTH,1655,3,2,E,3,3,3,12.0,BOREWELL,AP,2
BHK3,12.92828425,77.66825652,FAMILY,1,SEMI_FURNISHED,BOTH,1700,5,3,E,2,3,10,16.0,BOREWELL,AP,3
BHK1,12.901181,77.645664,ANYONE,0,NOT_FURNISHED,TWO_WHEELER,900,4,2,E,2,0,3,1.0,CORP_BORE,IH,0
BHK2,12.91993674,77.51363742,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,800,5,2,E,2,1,2,3.0,CORP_BORE,IF,0
BHK2,12.96310267,80.24582997,FAMILY,0,SEMI_FURNISHED,BOTH,890,9,2,N,4,3,5,4.0,CORP_BORE,AP,1
BHK2,12.97685279,77.53338513,ANYONE,1,SEMI_FURNISHED,BOTH,1250,20,2,E,2,1,2,1.0,CORP_BORE,AP,2
BHK3,12.98833473,77.57956862,FAMILY,1,SEMI_FURNISHED,BOTH,1800,5,3,N,3,0,1,1.0,CORP_BORE,IF,2
BHK3,12.924144,77.52434279,FAMILY,1,SEMI_FURNISHED,BOTH,1650,0,3,N,1,1,4,8.0,CORP_BORE,AP,4
BHK2,12.90690933,77.6420987,ANYONE,0,SEMI_FURNISHED,TWO_WHEELER,600,9,1,N,1,0,3,1.0,CORPORATION,IF,1
BHK2,12.97124394,77.68201884,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,1200,5,2,W,2,0,1,3.0,CORPORATION,IH,0
BHK2,12.92798686,77.67262697,ANYONE,1,SEMI_FURNISHED,BOTH,1160,3,2,E,4,1,4,8.0,BOREWELL,AP,1
BHK2,12.98356067,77.65539987,FAMILY,0,SEMI_FURNISHED,BOTH,980,3,2,E,2,0,1,1.0,CORP_BORE,IH,0
BHK2,12.9499109,77.7117912,FAMILY,0,SEMI_FURNISHED,BOTH,1115,4,2,E,2,2,5,6.0,CORPORATION,AP,1
BHK3,12.98765996,77.67056867,ANYONE,1,SEMI_FURNISHED,BOTH,1400,3,3,N,2,4,4,15.0,CORPORATION,AP,2
BHK1,12.98342177,77.7070833,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,1200,3,1,E,1,2,3,3.0,CORP_BORE,IH,1
BHK2,12.92713588,77.64009097,BACHELOR,1,SEMI_FURNISHED,BOTH,1000,15,2,E,2,0,1,2.0,CORPORATION,IH,0
BHK2,12.9562593,77.6534629,ANYONE,1,SEMI_FURNISHED,BOTH,1100,6,2,N,2,2,3,4.0,CORP_BORE,AP,1
BHK1,12.94334215,77.59706697,ANYONE,1,SEMI_FURNISHED,BOTH,350,2,1,E,1,1,4,4.0,CORP_BORE,AP,0
BHK3,12.9902727,77.7195925,ANYONE,1,SEMI_FURNISHED,BOTH,1645,5,3,N,3,3,11,17.0,CORP_BORE,AP,2
BHK2,12.95469529,77.56579872,ANYONE,1,NOT_FURNISHED,NONE,400,15,1,E,0,0,2,0.0,CORPORATION,IF,0
BHK1,12.9710108,77.53701437,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,900,5,1,E,1,1,1,2.0,CORP_BORE,IF,1
BHK2,12.9098984,77.6857631,FAMILY,1,SEMI_FURNISHED,BOTH,1321,2,2,E,3,12,16,14.0,CORPORATION,AP,1
BHK2,12.90591131,77.59434733,FAMILY,1,SEMI_FURNISHED,BOTH,1280,13,2,E,3,3,5,3.0,CORP_BORE,AP,1
BHK2,12.9156881,77.6918226,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,1300,3,2,E,1,0,4,11.0,CORPORATION,AP,2
BHK2,12.9702532,77.6551561,ANYONE,1,FULLY_FURNISHED,BOTH,850,10,2,E,1,0,1,1.0,CORPORATION,IH,1
BHK2,12.91674724,77.6054403,ANYONE,0,SEMI_FURNISHED,TWO_WHEELER,750,12,2,N,2,1,2,0.0,CORPORATION,IF,1
BHK3,12.9333757,77.69142726,ANYONE,0,SEMI_FURNISHED,BOTH,1850,2,3,NE,3,3,9,16.0,CORP_BORE,AP,2
BHK3,12.9123157,77.53598553,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1500,6,3,E,3,0,0,3.0,CORPORATION,IH,0
BHK2,12.95883797,77.66374966,FAMILY,1,SEMI_FURNISHED,BOTH,1165,5,2,E,2,2,4,9.0,CORP_BORE,AP,2
BHK2,12.91873109,77.63560016,ANYONE,0,SEMI_FURNISHED,FOUR_WHEELER,620,5,1,N,2,2,2,1.0,CORPORATION,IF,1
BHK2,12.93791711,77.7040155,FAMILY,0,SEMI_FURNISHED,BOTH,1208,2,2,E,4,2,5,13.0,BOREWELL,AP,1
BHK3,12.9013976,77.6289868,ANYONE,1,SEMI_FURNISHED,BOTH,1590,2,2,N,3,20,21,19.0,CORP_BORE,AP,2
BHK2,12.90525588,77.56251315,FAMILY,1,SEMI_FURNISHED,BOTH,1500,5,2,NE,2,1,2,3.0,CORP_BORE,IF,0
BHK2,12.9040377,77.6909377,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,1100,1,2,E,2,2,4,1.0,BOREWELL,IF,0
BHK2,12.9198902,77.540721,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,650,3,2,E,2,2,3,0.0,CORPORATION,IH,0
RK1,12.99872414,77.57294198,ANYONE,1,NOT_FURNISHED,NONE,250,0,1,E,0,1,1,3.0,CORPORATION,IF,1
BHK2,12.97193575,77.52970166,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,1290,13,1,S,4,1,2,1.0,CORPORATION,IF,1
BHK2,12.90118558,77.70586949,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,900,3,2,N,2,3,3,7.0,BOREWELL,IF,0
BHK1,12.9158784,77.62407532,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,500,1,1,N,1,0,3,0.0,CORPORATION,IF,0
BHK1,12.97635049,77.66530965,ANYONE,1,SEMI_FURNISHED,NONE,750,9,1,N,2,0,2,1.0,CORPORATION,IF,0
BHK3,12.9098965,77.609986,FAMILY,1,SEMI_FURNISHED,BOTH,1850,0,3,S,3,6,8,4.0,BOREWELL,AP,3
BHK2,12.97071696,77.53779442,FAMILY,0,SEMI_FURNISHED,NONE,1000,10,2,N,0,0,1,2.0,CORPORATION,IF,0
BHK1,12.93609383,77.57324843,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,700,10,1,SE,1,0,1,3.0,CORPORATION,IH,0
BHK2,12.9964978,77.5632834,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,900,8,2,N,1,1,1,2.0,CORPORATION,IF,1
BHK1,12.91946475,77.63256109,FAMILY,0,SEMI_FURNISHED,BOTH,550,7,1,S,1,4,4,3.0,CORP_BORE,AP,0
BHK1,12.91037958,77.5842244,ANYONE,1,SEMI_FURNISHED,BOTH,900,15,1,W,1,1,3,4.0,CORP_BORE,AP,1
BHK2,12.9729122,77.7437775,ANYONE,1,FULLY_FURNISHED,BOTH,1100,4,2,N,0,4,12,9.0,BOREWELL,AP,2
BHK2,12.96498422,77.68142937,ANYONE,1,SEMI_FURNISHED,BOTH,1050,10,2,E,6,1,2,4.0,BOREWELL,AP,2
BHK2,12.91271152,77.60649714,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,900,3,2,W,0,2,2,3.0,CORPORATION,IF,1
BHK2,12.95708051,77.70176855,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,650,12,1,N,2,1,3,3.0,CORPORATION,IF,1
BHK2,12.9233054,77.5533448,FAMILY,1,SEMI_FURNISHED,BOTH,1100,12,2,N,2,2,3,1.0,CORP_BORE,AP,1
BHK2,12.99131721,77.67026655,FAMILY,1,SEMI_FURNISHED,BOTH,1335,3,2,W,3,3,5,6.0,CORP_BORE,AP,2
BHK2,12.970593,77.6691819,FAMILY,1,FULLY_FURNISHED,FOUR_WHEELER,1205,5,2,E,0,2,4,13.0,CORP_BORE,AP,2
BHK2,12.95974148,77.64729705,ANYONE,0,SEMI_FURNISHED,BOTH,900,27,2,W,2,4,4,6.0,CORPORATION,AP,1
BHK2,12.92636013,77.54721832,FAMILY,1,SEMI_FURNISHED,BOTH,1115,10,2,W,8,3,4,8.0,CORP_BORE,AP,2
BHK1,12.91701119,77.55142737,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,500,10,1,N,1,0,1,1.0,CORPORATION,IF,0
BHK2,12.95198148,77.69820746,ANYONE,1,SEMI_FURNISHED,BOTH,1200,10,2,N,2,0,3,2.0,CORPORATION,IF,0
BHK2,12.93874748,77.62481272,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,850,0,1,N,2,1,3,2.0,CORPORATION,IF,0
BHK2,12.91408445,77.63752521,FAMILY,1,FULLY_FURNISHED,TWO_WHEELER,1200,0,2,E,2,0,1,1.0,CORPORATION,IF,0
BHK1,12.91728368,77.60281467,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,500,5,1,N,1,3,3,1.0,CORP_BORE,IF,1
BHK1,12.98525435,77.72010419,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,500,5,1,N,1,3,5,3.0,CORP_BORE,IF,0
BHK1,12.91650255,77.55915108,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,650,8,1,N,1,1,2,1.0,CORP_BORE,IF,1
BHK3,12.96855365,77.53605676,ANYONE,1,SEMI_FURNISHED,BOTH,1500,18,4,E,4,2,3,2.0,CORP_BORE,IF,2
BHK2,12.97994982,77.51052168,FAMILY,1,SEMI_FURNISHED,FOUR_WHEELER,1700,10,4,W,3,0,1,1.0,CORPORATION,IF,0
BHK2,12.97063738,77.50318628,FAMILY,1,SEMI_FURNISHED,BOTH,750,0,1,E,2,0,2,4.0,CORP_BORE,IF,0
BHK1,12.97563723,77.63214375,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,600,10,1,E,1,1,3,6.0,CORP_BORE,IF,0
BHK1,12.9598107,77.65686607,ANYONE,0,NOT_FURNISHED,TWO_WHEELER,800,15,1,N,0,1,1,5.0,CORP_BORE,IF,0
BHK2,12.9136455,77.6708005,ANYONE,1,SEMI_FURNISHED,BOTH,1105,0,2,N,2,11,14,17.0,CORP_BORE,AP,1
BHK2,12.92216916,77.62016466,ANYONE,1,SEMI_FURNISHED,FOUR_WHEELER,600,10,1,NW,2,1,1,3.0,CORPORATION,IF,1
BHK1,12.92094742,77.61351502,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,600,5,1,N,1,1,2,1.0,CORPORATION,IF,1
BHK2,12.90182626,77.72311527,ANYONE,0,NOT_FURNISHED,TWO_WHEELER,800,2,1,N,0,2,2,1.0,BOREWELL,IF,1
BHK3,12.98227479,77.62459394,FAMILY,0,SEMI_FURNISHED,BOTH,1500,4,2,E,6,1,3,2.0,CORP_BORE,IF,1
BHK2,12.9087561,77.67677517,ANYONE,0,SEMI_FURNISHED,BOTH,1100,5,2,E,2,4,4,15.0,BOREWELL,AP,1
BHK2,12.91151246,77.63229006,ANYONE,0,SEMI_FURNISHED,TWO_WHEELER,1000,6,2,N,2,1,3,2.0,CORP_BORE,IF,0
BHK2,12.92651136,77.61470882,FAMILY,1,SEMI_FURNISHED,BOTH,700,15,2,E,3,1,2,3.0,CORPORATION,IF,1
BHK3,12.91767971,77.58527147,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1250,30,2,N,3,0,2,1.0,CORP_BORE,IF,0
BHK3,12.97167663,77.71304485,ANYONE,1,SEMI_FURNISHED,BOTH,1500,8,3,E,4,1,9,16.0,CORPORATION,AP,3
BHK2,12.93701533,77.70752191,BACHELOR,1,SEMI_FURNISHED,BOTH,1000,1,2,W,2,1,4,6.0,BOREWELL,AP,2
BHK2,12.96703497,77.75391446,ANYONE,1,SEMI_FURNISHED,BOTH,1000,1,1,N,2,0,4,1.0,BOREWELL,IF,1
BHK2,12.99133772,77.66857191,ANYONE,0,NOT_FURNISHED,BOTH,1200,10,2,N,3,2,2,1.0,CORP_BORE,IF,1
BHK2,12.90956342,77.56850845,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,600,7,1,E,1,1,2,1.0,CORPORATION,IF,1
BHK2,12.91061588,77.60624085,ANYONE,0,SEMI_FURNISHED,BOTH,750,14,1,N,4,2,3,0.0,BOREWELL,IF,0
BHK1,12.97909752,77.64662441,BACHELOR,0,SEMI_FURNISHED,NONE,400,10,1,E,1,1,2,2.0,CORP_BORE,IF,1
BHK3,12.98048769,77.51179278,FAMILY,1,SEMI_FURNISHED,BOTH,1600,16,2,E,2,0,0,1.0,CORPORATION,IH,1
BHK2,12.9495026,77.7138213,ANYONE,1,SEMI_FURNISHED,BOTH,1320,3,2,E,2,3,5,9.0,CORP_BORE,AP,3
BHK3,12.9573461,77.7412366,ANYONE,1,FULLY_FURNISHED,BOTH,1635,3,3,E,3,2,8,15.0,CORP_BORE,AP,3
BHK1,12.94800384,77.70852869,BACHELOR,0,SEMI_FURNISHED,TWO_WHEELER,550,4,1,E,1,3,3,2.0,BOREWELL,IF,0
BHK4,12.95866538,77.74529803,ANYONE,1,SEMI_FURNISHED,BOTH,3537,8,5,N,3,4,4,11.0,CORP_BORE,AP,4
BHK2,12.99842594,77.55689447,FAMILY,1,SEMI_FURNISHED,BOTH,1000,9,2,W,3,2,4,4.0,CORP_BORE,AP,0
BHK2,12.95871724,77.65649345,ANYONE,1,SEMI_FURNISHED,BOTH,750,10,2,W,2,0,1,3.0,CORP_BORE,IH,0
BHK3,12.90381,77.5727678,ANYONE,1,FULLY_FURNISHED,BOTH,1810,5,3,N,10,5,10,13.0,CORPORATION,AP,4
BHK2,12.911588,77.57311786,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,1100,10,2,N,3,2,2,3.0,CORPORATION,IF,2
BHK1,12.93438282,77.62103589,ANYONE,0,FULLY_FURNISHED,NONE,500,1,1,W,1,1,5,6.0,CORPORATION,AP,0
BHK1,12.91498032,77.58799088,ANYONE,0,NOT_FURNISHED,FOUR_WHEELER,300,10,1,N,0,1,2,3.0,CORPORATION,IF,0
BHK2,12.95762286,77.71923743,FAMILY,0,SEMI_FURNISHED,NONE,1500,1,2,E,2,1,2,1.0,CORP_BORE,IF,2
BHK2,12.9160189,77.63001168,ANYONE,0,SEMI_FURNISHED,TWO_WHEELER,1500,5,2,N,2,2,2,1.0,CORPORATION,IF,4
BHK3,12.9673089,77.7114052,FAMILY,0,SEMI_FURNISHED,BOTH,2100,9,3,W,3,2,5,15.0,CORPORATION,AP,2
BHK3,12.9837615,77.7524946,FAMILY,1,SEMI_FURNISHED,FOUR_WHEELER,1833,10,3,S,3,2,3,16.0,CORP_BORE,AP,2
BHK2,12.90426467,77.52861187,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,900,4,1,E,4,3,4,2.0,CORPORATION,IF,1
